ID,SET_REVIEW_APPROVE_GANG__C,MAILING_CONFIRMED_DATE__C,MAILING_CONFIRMED_STATUS__C
a02d0000007Dfd7AAC,11/15/12,11/15/12,Confirmed
a02d0000007DfbaAAC,11/15/12,11/15/12,Confirmed
a02d0000007e4DwAAI,11/19/12,11/19/12,Confirmed
a02d0000006sB6CAAU,9/21/12,9/21/12,Confirmed
a02d0000006sB6HAAU,10/5/12,10/5/12,Confirmed
a02d0000007DjWNAA0,11/16/12,11/16/12,Confirmed
a02d0000007DiyNAAS,11/2/12,11/2/12,Confirmed
a02d0000007DjB3AAK,10/25/12,10/25/12,Confirmed
a02d0000007Dj6JAAS,10/25/12,10/25/12,Confirmed
a02d0000007DjB8AAK,11/1/12,11/1/12,Confirmed
a02d0000007Dtx0AAC,11/1/12,11/1/12,Confirmed
a02d0000007Du2GAAS,11/29/12,11/29/12,Confirmed
a02d0000007DiwWAAS,11/1/12,11/1/12,Confirmed
a02d0000007Du5LAAS,11/8/12,11/8/12,Confirmed
a02d0000007Du2BAAS,11/1/12,11/1/12,Confirmed
a02d0000007Dtx5AAC,11/29/12,11/29/12,Confirmed
a02d00000069pTrAAI,9/21/12,9/21/12,Confirmed
a02d00000069pWbAAI,10/25/12,10/25/12,Confirmed
a02d00000069pWHAAY,8/30/12,8/30/12,Confirmed
a02d0000005WELhAAO,11/18/11,11/18/11,Confirmed
a02d0000005WELiAAO,11/29/11,11/29/11,Confirmed
a02d0000005WELjAAO,11/29/11,11/29/11,Confirmed
a02d0000005WELkAAO,11/9/10,11/9/10,Confirmed
a02d0000005WELlAAO,12/22/11,12/22/11,Confirmed
a02d0000005WELmAAO,12/22/11,12/22/11,Confirmed
a02d0000005WENWAA4,5/27/11,5/27/11,Confirmed
a02d0000005WENXAA4,6/13/11,6/13/11,Confirmed
a02d0000005WENaAAO,6/8/11,6/8/11,Confirmed
a02d0000005WEPMAA4,4/6/12,4/6/12,Confirmed
a02d0000005WEPNAA4,4/13/12,4/13/12,Confirmed
a02d0000005WEPOAA4,1/20/12,1/20/12,Confirmed
a02d0000005WEPPAA4,2/6/12,2/6/12,Confirmed
a02d0000005WEPQAA4,2/6/12,2/6/12,Confirmed
a02d0000005WEPSAA4,10/21/11,10/21/11,Confirmed
a02d0000005WERXAA4,4/6/12,4/6/12,Confirmed
a02d0000005WERYAA4,8/10/12,8/10/12,Confirmed
a02d0000005WERcAAO,3/30/12,3/30/12,Confirmed
a02d0000005WERdAAO,6/28/12,6/28/12,Confirmed
a02d0000005WEReAAO,4/13/12,4/13/12,Confirmed
a02d0000005WETKAA4,10/10/11,10/10/11,Confirmed
a02d0000005WETLAA4,10/10/11,10/10/11,Confirmed
a02d0000005WETMAA4,1/12/12,1/12/12,Confirmed
a02d0000005WETNAA4,9/22/11,9/22/11,Confirmed
a02d0000005WETOAA4,11/18/11,11/18/11,Confirmed
a02d0000005WDyoAAG,5/27/11,5/27/11,Confirmed
a02d0000005WDypAAG,7/8/11,7/8/11,Confirmed
a02d0000005WDyqAAG,8/1/11,8/1/11,Confirmed
a02d0000005WDyrAAG,8/1/11,8/1/11,Confirmed
a02d0000005WDysAAG,6/13/11,6/13/11,Confirmed
a02d0000005WE0QAAW,2/10/12,2/10/12,Confirmed
a02d0000005WE0SAAW,12/22/11,12/22/11,Confirmed
a02d0000005WE0TAAW,8/15/11,8/15/11,Confirmed
a02d0000005WE0VAAW,10/14/11,10/14/11,Confirmed
a02d0000005WE2CAAW,1/29/11,1/29/11,Confirmed
a02d0000005WE2DAAW,2/23/11,2/23/11,Confirmed
a02d0000005WE2EAAW,3/11/11,3/11/11,Confirmed
a02d0000005WE2FAAW,5/2/11,5/2/11,Confirmed
a02d0000005WE2GAAW,2/4/11,2/4/11,Confirmed
a02d0000005WE2IAAW,11/3/11,11/3/11,Confirmed
a02d0000005WE46AAG,6/27/12,6/27/12,Confirmed
a02d0000005WE47AAG,11/2/12,11/2/12,Confirmed
a02d0000005WE4DAAW,12/22/11,12/22/11,Confirmed
a02d0000005WE5rAAG,4/20/12,4/20/12,Confirmed
a02d0000005WE5sAAG,4/27/12,4/27/12,Confirmed
a02d0000005WE5tAAG,7/16/11,7/16/11,Confirmed
a02d0000005WE5uAAG,3/24/11,3/24/11,Confirmed
a02d0000005WE5xAAG,8/10/12,8/10/12,Confirmed
a02d0000005WE5yAAG,5/24/12,5/24/12,Confirmed
a02d0000005WE7oAAG,2/24/12,2/24/12,Confirmed
a02d0000005WE7pAAG,8/26/11,8/26/11,Confirmed
a02d0000005WE7qAAG,7/20/12,7/20/12,Confirmed
a02d0000005WE7rAAG,11/18/11,11/18/11,Confirmed
a02d0000005WE7sAAG,7/27/11,7/27/11,Confirmed
a02d0000005WE7tAAG,1/20/12,1/20/12,Confirmed
a02d0000005WE7uAAG,8/3/12,8/3/12,Confirmed
a02d0000005WE7vAAG,10/5/12,10/5/12,Confirmed
a02d0000005WEASAA4,4/27/12,4/27/12,Confirmed
a02d0000005WEATAA4,8/3/12,8/3/12,Confirmed
a02d0000005WEAWAA4,4/27/12,4/27/12,Confirmed
a02d0000005WEAYAA4,10/18/12,10/18/12,Confirmed
a02d0000005WEAZAA4,3/16/12,3/16/12,Confirmed
a02d0000005WECVAA4,4/6/11,4/6/11,Confirmed
a02d0000005WECWAA4,6/8/11,6/8/11,Confirmed
a02d0000005WECXAA4,5/21/11,5/21/11,Confirmed
a02d0000005WECYAA4,8/1/11,8/1/11,Confirmed
a02d0000005WECZAA4,6/17/11,6/17/11,Confirmed
a02d0000005WECaAAO,6/29/11,6/29/11,Confirmed
a02d0000005WECbAAO,6/3/11,6/3/11,Confirmed
a02d0000005WEEHAA4,5/4/12,5/4/12,Confirmed
a02d0000005WEEIAA4,11/3/11,11/3/11,Confirmed
a02d0000005WEEJAA4,11/18/11,11/18/11,Confirmed
a02d0000005WEEKAA4,10/25/10,10/25/10,Confirmed
a02d0000005WEEMAA4,10/3/11,10/3/11,Confirmed
a02d0000005WEENAA4,11/3/11,11/3/11,Confirmed
a02d0000005WEG3AAO,10/21/11,10/21/11,Confirmed
a02d0000005WEG4AAO,10/25/10,10/25/10,Confirmed
a02d0000005WEG5AAO,12/22/11,12/22/11,Confirmed
a02d0000005WEG6AAO,4/19/11,4/19/11,Confirmed
a02d0000005WEG8AAO,9/22/11,9/22/11,Confirmed
a02d0000005WEG9AAO,11/3/11,11/3/11,Confirmed
a02d0000005WEHvAAO,3/16/12,3/16/12,Confirmed
a02d0000005WEHwAAO,11/18/11,11/18/11,Confirmed
a02d0000005WEHxAAO,11/3/11,11/3/11,Confirmed
a02d0000005WEHyAAO,11/3/11,11/3/11,Confirmed
a02d0000005WEHzAAO,11/3/11,11/3/11,Confirmed
a02d0000005WEI0AAO,10/18/12,10/18/12,Confirmed
a02d0000005WEI1AAO,10/28/11,10/28/11,Confirmed
a02d0000005WEJiAAO,5/25/12,5/25/12,Confirmed
a02d0000005WEJjAAO,11/16/11,11/16/11,Confirmed
a02d0000005WEJkAAO,4/19/11,4/19/11,Confirmed
a02d0000005WEJnAAO,3/11/11,3/11/11,Confirmed
a02d0000005WELoAAO,8/3/12,8/3/12,Confirmed
a02d0000005WELpAAO,4/6/12,4/6/12,Confirmed
a02d0000005WELqAAO,3/23/12,3/23/12,Confirmed
a02d0000005WELrAAO,11/3/11,11/3/11,Confirmed
a02d0000005WELtAAO,5/4/12,5/4/12,Confirmed
a02d0000005WELuAAO,6/27/12,6/27/12,Confirmed
a02d0000005WELvAAO,3/9/12,3/9/12,Confirmed
a02d0000005WENdAAO,5/16/11,5/16/11,Confirmed
a02d0000005WENeAAO,4/15/11,4/15/11,Confirmed
a02d0000005WENiAAO,5/27/11,5/27/11,Confirmed
a02d0000005WEPTAA4,10/28/11,10/28/11,Confirmed
a02d0000005WEPUAA4,11/3/11,11/3/11,Confirmed
a02d0000005WEPVAA4,12/22/11,12/22/11,Confirmed
a02d0000005WEPWAA4,11/3/11,11/3/11,Confirmed
a02d0000005WEPXAA4,12/22/11,12/22/11,Confirmed
a02d0000005WEPYAA4,11/3/11,11/3/11,Confirmed
a02d0000005WERhAAO,8/31/12,8/31/12,Confirmed
a02d0000005WERiAAO,4/27/12,4/27/12,Confirmed
a02d0000005WERjAAO,3/16/12,3/16/12,Confirmed
a02d0000005WERkAAO,9/28/12,9/28/12,Confirmed
a02d0000005WERlAAO,6/28/12,6/28/12,Confirmed
a02d0000005WERnAAO,4/19/12,4/19/12,Confirmed
a02d0000005WERpAAO,5/4/12,5/4/12,Confirmed
a02d0000005WETQAA4,9/16/11,9/16/11,Confirmed
a02d0000005WETRAA4,9/22/11,9/22/11,Confirmed
a02d0000005WETSAA4,9/23/11,9/23/11,Confirmed
a02d0000005WETTAA4,10/3/11,10/3/11,Confirmed
a02d0000005WETUAA4,10/10/11,10/10/11,Confirmed
a02d0000005WDyuAAG,7/8/11,7/8/11,Confirmed
a02d0000005WDywAAG,7/16/11,7/16/11,Confirmed
a02d0000005WDyyAAG,8/23/11,8/23/11,Confirmed
a02d0000005WDyzAAG,8/26/11,8/26/11,Confirmed
a02d0000005WE0WAAW,10/10/11,10/10/11,Confirmed
a02d0000005WE0XAAW,10/3/11,10/3/11,Confirmed
a02d0000005WE0ZAAW,5/27/11,5/27/11,Confirmed
a02d0000005WE0aAAG,11/3/11,11/3/11,Confirmed
a02d0000005WE0bAAG,10/14/11,10/14/11,Confirmed
a02d0000005WE2JAAW,3/23/12,3/23/12,Confirmed
a02d0000005WE2KAAW,12/22/11,12/22/11,Confirmed
a02d0000005WE2LAAW,9/1/11,9/1/11,Confirmed
a02d0000005WE2MAAW,2/6/12,2/6/12,Confirmed
a02d0000005WE2NAAW,2/17/12,2/17/12,Confirmed
a02d0000005WE2OAAW,2/10/12,2/10/12,Confirmed
a02d0000005WE4EAAW,1/9/12,1/9/12,Confirmed
a02d0000005WE4FAAW,8/30/12,8/30/12,Confirmed
a02d0000005WE4GAAW,1/20/12,1/20/12,Confirmed
a02d0000005WE4IAAW,4/27/12,4/27/12,Confirmed
a02d0000005WE4JAAW,6/29/11,6/29/11,Confirmed
a02d0000005WE4KAAW,12/22/11,12/22/11,Confirmed
a02d0000005WE60AAG,4/13/12,4/13/12,Confirmed
a02d0000005WE61AAG,4/27/12,4/27/12,Confirmed
a02d0000005WE65AAG,12/22/11,12/22/11,Confirmed
a02d0000005WE66AAG,6/27/12,6/27/12,Confirmed
a02d0000005WE7wAAG,5/4/12,5/4/12,Confirmed
a02d0000005WE7zAAG,5/25/12,5/25/12,Confirmed
a02d0000005WE84AAG,5/24/12,5/24/12,Confirmed
a02d0000005WEAdAAO,3/16/12,3/16/12,Confirmed
a02d0000005WEAeAAO,3/23/12,3/23/12,Confirmed
a02d0000005WECcAAO,3/24/11,3/24/11,Confirmed
a02d0000005WECdAAO,1/29/11,1/29/11,Confirmed
a02d0000005WECeAAO,3/24/11,3/24/11,Confirmed
a02d0000005WECfAAO,3/18/11,3/18/11,Confirmed
a02d0000005WEChAAO,6/17/11,6/17/11,Confirmed
a02d0000005WEEPAA4,12/22/11,12/22/11,Confirmed
a02d0000005WEEQAA4,3/16/12,3/16/12,Confirmed
a02d0000005WEERAA4,9/1/11,9/1/11,Confirmed
a02d0000005WEESAA4,9/23/11,9/23/11,Confirmed
a02d0000005WEETAA4,9/23/11,9/23/11,Confirmed
a02d0000005WEEUAA4,10/10/11,10/10/11,Confirmed
a02d0000005WEGAAA4,11/3/11,11/3/11,Confirmed
a02d0000005WEGBAA4,11/3/11,11/3/11,Confirmed
a02d0000005WEGCAA4,4/13/12,4/13/12,Confirmed
a02d0000005WEGDAA4,12/8/10,12/8/10,Confirmed
a02d0000005WEGEAA4,9/22/11,9/22/11,Confirmed
a02d0000005WEGGAA4,11/22/11,11/22/11,Confirmed
a02d0000005WEI2AAO,1/27/12,1/27/12,Confirmed
a02d0000005WEI3AAO,10/21/11,10/21/11,Confirmed
a02d0000005WEI4AAO,2/6/12,2/6/12,Confirmed
a02d0000005WEI5AAO,11/3/11,11/3/11,Confirmed
a02d0000005WEI6AAO,10/21/11,10/21/11,Confirmed
a02d0000005WEI7AAO,11/3/11,11/3/11,Confirmed
a02d0000005WEI8AAO,11/3/11,11/3/11,Confirmed
a02d0000005WEJpAAO,4/1/11,4/1/11,Confirmed
a02d0000005WEJqAAO,3/7/11,3/7/11,Confirmed
a02d0000005WEJrAAO,4/1/11,4/1/11,Confirmed
a02d0000005WEJsAAO,4/1/11,4/1/11,Confirmed
a02d0000005WEJtAAO,3/11/11,3/11/11,Confirmed
a02d0000005WEJuAAO,4/22/11,4/22/11,Confirmed
a02d0000005WELwAAO,3/23/12,3/23/12,Confirmed
a02d0000005WELxAAO,8/30/11,8/30/11,Confirmed
a02d0000005WELyAAO,2/25/12,2/25/12,Confirmed
a02d0000005WEM0AAO,9/23/11,9/23/11,Confirmed
a02d0000005WEM1AAO,10/3/11,10/3/11,Confirmed
a02d0000005WENjAAO,5/21/11,5/21/11,Confirmed
a02d0000005WENkAAO,5/21/11,5/21/11,Confirmed
a02d0000005WENmAAO,8/1/11,8/1/11,Confirmed
a02d0000005WENoAAO,6/8/11,6/8/11,Confirmed
a02d0000005WENqAAO,5/2/11,5/2/11,Confirmed
a02d0000005WEPZAA4,2/6/12,2/6/12,Confirmed
a02d0000005WEPaAAO,10/11/12,10/11/12,Confirmed
a02d0000005WEPbAAO,1/27/12,1/27/12,Confirmed
a02d0000005WEPcAAO,11/3/11,11/3/11,Confirmed
a02d0000005WEPeAAO,10/14/11,10/14/11,Confirmed
a02d0000005WETVAA4,11/18/11,11/18/11,Confirmed
a02d0000005WETWAA4,2/6/12,2/6/12,Confirmed
a02d0000005WETXAA4,4/27/12,4/27/12,Confirmed
a02d0000005WETYAA4,4/13/12,4/13/12,Confirmed
a02d0000005WETdAAO,8/10/12,8/10/12,Confirmed
a02d0000005WDz1AAG,11/18/11,11/18/11,Confirmed
a02d0000005WDz3AAG,9/9/11,9/9/11,Confirmed
a02d0000005WDz5AAG,8/23/11,8/23/11,Confirmed
a02d0000005WDz6AAG,8/26/11,8/26/11,Confirmed
a02d0000005WE0cAAG,7/16/11,7/16/11,Confirmed
a02d0000005WE0eAAG,3/23/12,3/23/12,Confirmed
a02d0000005WE0fAAG,7/16/11,7/16/11,Confirmed
a02d0000005WE0gAAG,7/8/11,7/8/11,Confirmed
a02d0000005WE2PAAW,8/1/11,8/1/11,Confirmed
a02d0000005WE2QAAW,10/21/11,10/21/11,Confirmed
a02d0000005WE2RAAW,11/3/11,11/3/11,Confirmed
a02d0000005WE2TAAW,8/10/12,8/10/12,Confirmed
a02d0000005WE2UAAW,9/16/11,9/16/11,Confirmed
a02d0000005WE2VAAW,10/28/11,10/28/11,Confirmed
a02d0000005WE4MAAW,2/10/12,2/10/12,Confirmed
a02d0000005WE4NAAW,2/24/12,2/24/12,Confirmed
a02d0000005WE4OAAW,2/10/12,2/10/12,Confirmed
a02d0000005WE4PAAW,2/6/12,2/6/12,Confirmed
a02d0000005WE4RAAW,2/24/12,2/24/12,Confirmed
a02d0000005WE68AAG,4/27/12,4/27/12,Confirmed
a02d0000005WE6AAAW,5/25/12,5/25/12,Confirmed
a02d0000005WE6EAAW,8/10/12,8/10/12,Confirmed
a02d0000005WE6FAAW,9/21/12,9/21/12,Confirmed
a02d0000005WE85AAG,4/20/12,4/20/12,Confirmed
a02d0000005WE87AAG,3/16/12,3/16/12,Confirmed
a02d0000005WE88AAG,3/23/12,3/23/12,Confirmed
a02d0000005WE8BAAW,8/31/12,8/31/12,Confirmed
a02d0000005WE8DAAW,8/31/12,8/31/12,Confirmed
a02d0000005WE8WAAW,5/24/12,5/24/12,Confirmed
a02d0000005WE8XAAW,2/24/12,2/24/12,Confirmed
a02d0000005WEAmAAO,10/14/10,10/14/10,Confirmed
a02d0000005WEAnAAO,5/11/12,5/11/12,Confirmed
a02d0000005WEAoAAO,6/4/12,6/4/12,Confirmed
a02d0000005WEApAAO,6/27/12,6/27/12,Confirmed
a02d0000005WECkAAO,11/18/11,11/18/11,Confirmed
a02d0000005WEClAAO,7/16/11,7/16/11,Confirmed
a02d0000005WECnAAO,5/18/11,5/18/11,Confirmed
a02d0000005WECoAAO,2/4/11,2/4/11,Confirmed
a02d0000005WECpAAO,2/28/11,2/28/11,Confirmed
a02d0000005WEEVAA4,7/8/11,7/8/11,Confirmed
a02d0000005WEEWAA4,10/28/11,10/28/11,Confirmed
a02d0000005WEEXAA4,4/19/11,4/19/11,Confirmed
a02d0000005WEEZAA4,9/9/11,9/9/11,Confirmed
a02d0000005WEEaAAO,5/21/11,5/21/11,Confirmed
a02d0000005WEGHAA4,10/21/11,10/21/11,Confirmed
a02d0000005WEGJAA4,9/23/11,9/23/11,Confirmed
a02d0000005WEGKAA4,10/10/11,10/10/11,Confirmed
a02d0000005WEGLAA4,11/18/11,11/18/11,Confirmed
a02d0000005WEGMAA4,8/3/12,8/3/12,Confirmed
a02d0000005WEGNAA4,12/22/11,12/22/11,Confirmed
a02d0000005WEI9AAO,11/18/11,11/18/11,Confirmed
a02d0000005WEIBAA4,10/28/11,10/28/11,Confirmed
a02d0000005WEIDAA4,10/25/11,10/25/11,Confirmed
a02d0000005WEIEAA4,11/22/11,11/22/11,Confirmed
a02d0000005WEIFAA4,1/20/12,1/20/12,Confirmed
a02d0000005WEIGAA4,7/6/12,7/6/12,Confirmed
a02d0000005WEJvAAO,6/13/11,6/13/11,Confirmed
a02d0000005WEJwAAO,5/21/11,5/21/11,Confirmed
a02d0000005WEJzAAO,4/20/12,4/20/12,Confirmed
a02d0000005WEK0AAO,11/18/11,11/18/11,Confirmed
a02d0000005WEK1AAO,2/6/12,2/6/12,Confirmed
a02d0000005WEK2AAO,12/22/11,12/22/11,Confirmed
a02d0000005WEK4AAO,1/12/12,1/12/12,Confirmed
a02d0000005WEK5AAO,11/16/11,11/16/11,Confirmed
a02d0000005WEM2AAO,3/9/12,3/9/12,Confirmed
a02d0000005WEM3AAO,11/3/11,11/3/11,Confirmed
a02d0000005WEM4AAO,10/10/11,10/10/11,Confirmed
a02d0000005WEM5AAO,11/18/11,11/18/11,Confirmed
a02d0000005WEM7AAO,11/3/11,11/3/11,Confirmed
a02d0000005WENrAAO,7/16/11,7/16/11,Confirmed
a02d0000005WENsAAO,10/28/11,10/28/11,Confirmed
a02d0000005WENtAAO,8/1/11,8/1/11,Confirmed
a02d0000005WENuAAO,5/6/11,5/6/11,Confirmed
a02d0000005WENwAAO,5/27/11,5/27/11,Confirmed
a02d0000005WEPgAAO,12/22/11,12/22/11,Confirmed
a02d0000005WEPhAAO,12/29/11,12/29/11,Confirmed
a02d0000005WEPiAAO,3/30/12,3/30/12,Confirmed
a02d0000005WEPkAAO,11/18/11,11/18/11,Confirmed
a02d0000005WEPmAAO,1/27/12,1/27/12,Confirmed
a02d0000005WETeAAO,4/13/12,4/13/12,Confirmed
a02d0000005WETfAAO,5/11/12,5/11/12,Confirmed
a02d0000005WETgAAO,4/27/12,4/27/12,Confirmed
a02d0000005WEThAAO,8/10/12,8/10/12,Confirmed
a02d0000005WDz7AAG,6/29/11,6/29/11,Confirmed
a02d0000005WDz8AAG,10/3/11,10/3/11,Confirmed
a02d0000005WDz9AAG,7/16/11,7/16/11,Confirmed
a02d0000005WDzBAAW,12/22/11,12/22/11,Confirmed
a02d0000005WDzCAAW,8/30/11,8/30/11,Confirmed
a02d0000005WE0hAAG,8/30/11,8/30/11,Confirmed
a02d0000005WE0iAAG,6/29/11,6/29/11,Confirmed
a02d0000005WE0jAAG,11/3/11,11/3/11,Confirmed
a02d0000005WE0kAAG,8/1/11,8/1/11,Confirmed
a02d0000005WE0nAAG,7/13/12,7/13/12,Confirmed
a02d0000005WE0oAAG,4/27/12,4/27/12,Confirmed
a02d0000005WE2WAAW,11/18/11,11/18/11,Confirmed
a02d0000005WE2XAAW,10/14/11,10/14/11,Confirmed
a02d0000005WE2YAAW,8/15/11,8/15/11,Confirmed
a02d0000005WE2aAAG,9/21/12,9/21/12,Confirmed
a02d0000005WE2bAAG,12/22/11,12/22/11,Confirmed
a02d0000005WE2cAAG,11/18/11,11/18/11,Confirmed
a02d0000005WE4TAAW,1/6/12,1/6/12,Confirmed
a02d0000005WE4UAAW,1/20/12,1/20/12,Confirmed
a02d0000005WE4VAAW,4/6/12,4/6/12,Confirmed
a02d0000005WE4WAAW,10/28/11,10/28/11,Confirmed
a02d0000005WE4XAAW,2/17/12,2/17/12,Confirmed
a02d0000005WE6GAAW,4/27/12,4/27/12,Confirmed
a02d0000005WE6HAAW,8/31/12,8/31/12,Confirmed
a02d0000005WE6IAAW,5/4/12,5/4/12,Confirmed
a02d0000005WE6JAAW,12/22/11,12/22/11,Confirmed
a02d0000005WE6KAAW,5/25/12,5/25/12,Confirmed
a02d0000005WE6MAAW,5/11/12,5/11/12,Confirmed
a02d0000005WE8YAAW,2/17/12,2/17/12,Confirmed
a02d0000005WE8ZAAW,5/4/12,5/4/12,Confirmed
a02d0000005WE8bAAG,2/6/12,2/6/12,Confirmed
a02d0000005WE8cAAG,8/3/12,8/3/12,Confirmed
a02d0000005WEAtAAO,7/6/12,7/6/12,Confirmed
a02d0000005WEAwAAO,4/27/12,4/27/12,Confirmed
a02d0000005WEAxAAO,5/25/12,5/25/12,Confirmed
a02d0000005WEAzAAO,2/24/12,2/24/12,Confirmed
a02d0000005WEB1AAO,8/3/12,8/3/12,Confirmed
a02d0000005WECqAAO,3/24/11,3/24/11,Confirmed
a02d0000005WECrAAO,6/29/11,6/29/11,Confirmed
a02d0000005WECsAAO,2/28/11,2/28/11,Confirmed
a02d0000005WECtAAO,5/6/11,5/6/11,Confirmed
a02d0000005WECuAAO,6/29/11,6/29/11,Confirmed
a02d0000005WECvAAO,4/19/11,4/19/11,Confirmed
a02d0000005WEEdAAO,9/22/11,9/22/11,Confirmed
a02d0000005WEEeAAO,10/3/11,10/3/11,Confirmed
a02d0000005WEEgAAO,4/27/12,4/27/12,Confirmed
a02d0000005WEEhAAO,10/3/11,10/3/11,Confirmed
a02d0000005WEEiAAO,11/3/11,11/3/11,Confirmed
a02d0000005WEGPAA4,11/3/11,11/3/11,Confirmed
a02d0000005WEGQAA4,2/24/12,2/24/12,Confirmed
a02d0000005WEGSAA4,2/25/12,2/25/12,Confirmed
a02d0000005WEGWAA4,9/1/11,9/1/11,Confirmed
a02d0000005WEIIAA4,9/23/11,9/23/11,Confirmed
a02d0000005WEIJAA4,8/23/11,8/23/11,Confirmed
a02d0000005WEK8AAO,9/29/10,9/29/10,Confirmed
a02d0000005WEK9AAO,6/13/11,6/13/11,Confirmed
a02d0000005WEKAAA4,9/29/10,9/29/10,Confirmed
a02d0000005WEKDAA4,12/27/10,12/27/10,Confirmed
a02d0000005WEM9AAO,1/9/12,1/9/12,Confirmed
a02d0000005WEMAAA4,10/10/11,10/10/11,Confirmed
a02d0000005WEMBAA4,3/9/12,3/9/12,Confirmed
a02d0000005WEMCAA4,11/3/11,11/3/11,Confirmed
a02d0000005WEMEAA4,12/22/11,12/22/11,Confirmed
a02d0000005WENzAAO,12/22/11,12/22/11,Confirmed
a02d0000005WEO1AAO,12/22/11,12/22/11,Confirmed
a02d0000005WEO2AAO,4/6/12,4/6/12,Confirmed
a02d0000005WEPnAAO,1/27/12,1/27/12,Confirmed
a02d0000005WEPpAAO,1/20/12,1/20/12,Confirmed
a02d0000005WEPrAAO,4/27/12,4/27/12,Confirmed
a02d0000005WEPsAAO,2/25/12,2/25/12,Confirmed
a02d0000005WEPtAAO,4/27/12,4/27/12,Confirmed
a02d0000005WEToAAO,9/21/12,9/21/12,Confirmed
a02d0000005WETpAAO,5/10/12,5/10/12,Confirmed
a02d0000005WETqAAO,4/27/12,4/27/12,Confirmed
a02d0000005WETsAAO,6/25/12,6/25/12,Confirmed
a02d0000005WETvAAO,7/27/12,7/27/12,Confirmed
a02d0000005WETyAAO,7/6/12,7/6/12,Confirmed
a02d0000005WDzDAAW,8/30/11,8/30/11,Confirmed
a02d0000005WDzEAAW,6/8/11,6/8/11,Confirmed
a02d0000005WDzFAAW,8/1/11,8/1/11,Confirmed
a02d0000005WDzGAAW,11/3/11,11/3/11,Confirmed
a02d0000005WDzIAAW,6/24/11,6/24/11,Confirmed
a02d0000005WE0sAAG,8/15/11,8/15/11,Confirmed
a02d0000005WE0tAAG,11/3/11,11/3/11,Confirmed
a02d0000005WE0uAAG,8/30/11,8/30/11,Confirmed
a02d0000005WE0vAAG,10/28/11,10/28/11,Confirmed
a02d0000005WE2dAAG,10/21/11,10/21/11,Confirmed
a02d0000005WE2eAAG,10/21/11,10/21/11,Confirmed
a02d0000005WE2fAAG,11/3/11,11/3/11,Confirmed
a02d0000005WE2hAAG,11/16/11,11/16/11,Confirmed
a02d0000005WE2iAAG,10/21/11,10/21/11,Confirmed
a02d0000005WE2jAAG,2/17/12,2/17/12,Confirmed
a02d0000005WE4ZAAW,10/28/11,10/28/11,Confirmed
a02d0000005WE4aAAG,1/6/12,1/6/12,Confirmed
a02d0000005WE4bAAG,9/23/11,9/23/11,Confirmed
